filepath,testclass,testname,assertion type,line number,assert string
task2results/allentests/allennlp/common/testing/model_test_case.py,ModelTestCase,ensure_model_can_train_save_and_load,assertLess,135,assert abs(metric_value - metric_terminal_value) < metric_tolerance
task2results/allentests/allennlp/common/testing/model_test_case.py,ModelTestCase,ensure_model_can_train_save_and_load,assert_allclose,143,"assert_allclose(model.state_dict()[key].cpu().numpy(), loaded_model.state_dict()[key].cpu().numpy(), err_msg=key)"
task2results/allentests/allennlp/common/testing/model_test_case.py,ModelTestCase,ensure_model_can_train,assertLess,274,assert abs(metric_value - metric_terminal_value) < metric_tolerance
task2results/allentests/allennlp/common/testing/model_test_case.py,ModelTestCase,assert_fields_equal,assert_allclose,286,"assert_allclose(field1.detach().cpu().numpy(), field2.detach().cpu().numpy(), rtol=tolerance, err_msg=name)"
task2results/allentests/allennlp/common/testing/model_test_case.py,ModelTestCase,assert_fields_equal,assert_allclose,305,"assert_allclose([field1], [field2], rtol=tolerance, err_msg=name)"
task2results/allentests/allennlp/common/testing/model_test_case.py,ModelTestCase,ensure_batch_predictions_are_consistent,assert_allclose,406,"assert_allclose(single_predicted.data.numpy(), batch_predicted.data.numpy(), atol=tolerance, err_msg=key)"
task2results/allentests/allennlp/common/testing/distributed_test.py,FakePredictorForTestingInterpret,init_process,assertGreater,20,assert world_size > 1
task2results/allentests/tests/nn/initializers_test.py,Net,test_uniform_unit_scaling_can_initialize,assertLess,85,assert tensor.data.max() < math.sqrt(3 / 10)
task2results/allentests/tests/nn/initializers_test.py,Net,test_uniform_unit_scaling_can_initialize,assertGreater,86,assert tensor.data.min() > -math.sqrt(3 / 10)
task2results/allentests/tests/nn/initializers_test.py,Net,test_uniform_unit_scaling_can_initialize,assertLess,90,assert tensor.data.max() < math.sqrt(3 / 10) * 1.43
task2results/allentests/tests/nn/initializers_test.py,Net,test_uniform_unit_scaling_can_initialize,assertGreater,91,assert tensor.data.min() > -math.sqrt(3 / 10) * 1.43
task2results/allentests/tests/nn/util_test.py,TestNnUtil,test_get_mask_from_sequence_lengths,assert_almost_equal,42,"assert_almost_equal(mask, [[1, 1, 1, 1, 0], [1, 1, 1, 0, 0], [1, 0, 0, 0, 0], [1, 1, 1, 1, 0], [1, 1, 0, 0, 0]])"
task2results/allentests/tests/nn/util_test.py,TestNnUtil,test_clamp_tensor,assert_almost_equal,65,"assert_almost_equal(clamped_tensor, [[0, 0, 3], [3, 0, -3]])"
task2results/allentests/tests/nn/util_test.py,TestNnUtil,test_clamp_tensor,assert_almost_equal,72,"assert_almost_equal(clamped_tensor, [[0, 0, 3], [3, 0, -3]])"
task2results/allentests/tests/nn/util_test.py,TestNnUtil,test_clamp_tensor,assert_almost_equal,77,"assert_almost_equal(clamped_tensor, [[3, -3, 3], [-3, 0, -3]])"
