filepath,testclass,testname,assertion type,line number,assert string
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_ard,assertLess,34,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_ard,assertLess,39,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_ard,assertLess,45,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_ard,assertLess,50,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_ard_batch,assertLess,67,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_ard_batch,assertLess,72,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_ard_batch,assertLess,81,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_ard_batch,assertLess,86,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_ard_separate_batch,assertLess,103,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_ard_separate_batch,assertLess,108,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_computes_rational_quadratic,assertLess,121,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_computes_rational_quadratic,assertLess,126,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_computes_rational_quadratic_gradient,assertLess,151,"self.assertLess(torch.norm(res - raw_lengthscale.grad), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_computes_rational_quadratic_gradient,assertLess,153,"self.assertLess(torch.norm(res - raw_alpha.grad), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_subset_active_compute_rational_quadratic,assertLess,170,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_subset_active_compute_rational_quadratic,assertLess,175,"self.assertLess(torch.norm(res - actual), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_subset_active_computes_rational_quadratic_gradient,assertLess,202,"self.assertLess(torch.norm(res - raw_lengthscale.grad), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_subset_active_computes_rational_quadratic_gradient,assertLess,204,"self.assertLess(torch.norm(res - raw_alpha.grad), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_initialize_lengthscale,assertLess,210,"self.assertLess(torch.norm(kernel.lengthscale - actual_value), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_initialize_lengthscale_batch,assertLess,217,"self.assertLess(torch.norm(kernel.lengthscale - actual_value), 1e-05)"
task2results/gpytorch/test/kernels/test_rq_kernel.py,TestRQKernel,test_initialize_alpha,assertLess,223,"self.assertLess(torch.norm(kernel.alpha - actual_value), 1e-05)"
task2results/gpytorch/test/kernels/test_spectral_delta_kernel.py,TestSpectralDeltaKernel,test_active_dims_list,assertLess,36,"self.assertLess(torch.norm(covar_mat - covar_mat_actual) / covar_mat_actual.norm(), 0.0001)"
task2results/gpytorch/test/kernels/test_spectral_delta_kernel.py,TestSpectralDeltaKernel,test_active_dims_range,assertLess,50,"self.assertLess(torch.norm(covar_mat - covar_mat_actual) / covar_mat_actual.norm(), 0.0001)"
task2results/gpytorch/test/kernels/test_grid_interpolation_kernel.py,TestGridInterpolationKernel,test_standard,assertLess,23,"self.assertLess(torch.norm(grid_eval - actual_eval), 2e-05)"
task2results/gpytorch/test/kernels/test_grid_interpolation_kernel.py,TestGridInterpolationKernel,test_standard,assertLess,28,"self.assertLess(torch.norm(grid_eval - actual_eval), 2e-05)"
